date,a_x,a_y,a_z,angx,angy,angz,pressure,flag
29.113,-0.48,-0.49,9.75,7,-40,-148,20572.1,1
29.219,-0.46,-0.48,9.76,9,-41,-151,20572.9,1
29.325,-0.41,-0.42,9.77,8,-41,-149,20573,1
29.431,-0.26,-0.32,9.8,7,-38,-150,20570.5,1
29.537,-0.19,-0.31,9.81,8,-39,-150,20569.2,1
29.642,-0.01,-0.3,9.8,7,-36,-150,20563.8,1
29.748,0.21,-0.32,9.81,8,-37,-148,20557.9,1
29.854,0.4,-0.45,9.78,5,-36,-151,20552.8,1
29.96,0.49,-0.59,9.75,7,-33,-147,20545.3,1
30.066,0.6,-0.79,9.7,10,-36,-146,20538.3,1
30.172,0.67,-1.01,9.63,11,-32,-145,20532.3,1
30.277,0.66,-1.12,9.6,11,-36,-145,20526.2,1
30.383,0.6,-1.17,9.57,10,-39,-144,20522.8,1
30.489,0.44,-1.02,9.57,8,-37,-145,20523.9,1
30.595,0.35,-0.9,9.59,9,-39,-146,20525.1,1
30.701,0.16,-0.67,9.63,6,-41,-149,20531.3,1
30.807,-0.04,-0.68,9.66,11,-39,-149,20537.6,1
30.913,-0.13,-0.86,9.63,8,-40,-147,20546.1,1
31.019,-0.25,-0.88,9.65,9,-39,-144,20551.2,1
31.124,-0.29,-0.77,9.67,7,-43,-147,20559.5,1
31.23,-0.32,-0.59,9.75,8,-41,-146,20564.9,1
31.336,-0.3,-0.49,9.77,3,-42,-147,20570.2,1
31.442,-0.2,-0.38,9.81,4,-41,-148,20571.1,1
31.548,-0.01,-0.38,9.85,3,-40,-149,20572.9,1
31.654,0.14,-0.42,9.84,5,-35,-151,20565.8,1
31.76,0.42,-0.43,9.84,4,-36,-149,20559.6,1
31.865,0.73,-0.3,9.82,5,-31,-148,20550.6,1
31.971,0.86,-0.29,9.77,4,-29,-146,20541.8,1
32.077,1.04,-0.27,9.72,2,-27,-147,20531.5,1
32.183,1.09,-0.47,9.63,3,-31,-145,20524,1
32.289,1.07,-0.82,9.54,7,-29,-145,20517.7,1
32.395,0.84,-0.96,9.51,4,-30,-144,20517,1
32.501,0.51,-0.92,9.51,7,-34,-145,20521.2,1
32.607,0.14,-0.86,9.57,3,-35,-145,20529,1
32.712,-0.02,-0.87,9.58,4,-37,-148,20539.7,1
32.818,-0.29,-0.94,9.61,5,-39,-147,20548,1
32.924,-0.45,-1.06,9.63,5,-40,-146,20557.2,1
